name,type,latitude,longitude
Whittier School of Law,school,34.0694714,-118.3366087
Strathern Playground,park,34.2161153,-118.4059145
American Academy of Dramatic Arts,school,34.0951606,-118.3437724
Santa Ynez Canyon Park,park,34.0702856,-118.5661943
Miller Career and Transition Center,school,34.2201126,-118.5482676
Louise Park,park,34.2005601,-118.5092512
Unknown,park,34.2354291,-118.644256
Broad Avenue Elementary School,school,33.8005733,-118.262849
Lockhurst Elementary School,school,34.1834826,-118.6469365
Napa Elementary School,school,34.2258371,-118.5467527
Nevada Avenue Elementary School,school,34.2236111,-118.6077778
Pomelo Elementary School,school,34.2091711,-118.6428659
Unknown,school,34.2036155,-118.5389743
Hill and Dale Nursery and Kindergarten,school,34.0438976,-118.5486932
Avalon Continuation School,school,33.7925178,-118.2639602
Topeka Drive Elementary School,school,34.2483366,-118.5628647
Blythe Elementary School,school,34.213893,-118.5420301
Serrania Elementary School,school,34.1605611,-118.5878634
Brainard Elementary School,school,34.277224,-118.3639691
Welby Elementary School,school,34.1916714,-118.638421
Ferrahian Armenian School,school,34.1675247,-118.5181615
Los Encino School,school,34.1595679,-118.5059193
Valley Beth Shalom Day School,school,34.1561516,-118.4786603
Divine Providence Kindergarten and Day Nursery,school,34.0314014,-118.284797
Hollywood College School of Chiropractic,school,34.0533449,-118.2778525
Mary E Bennett School,school,34.0627891,-118.2672968
Queen of Angels School of Nursing,school,34.0752886,-118.269797
California Childrens College,school,34.0439003,-118.325076
Workmans Circle Education Center,school,34.0502882,-118.3850778
Daniel Murphy High School,school,34.0691768,-118.3459102
Kanner Education Center,school,34.0763987,-118.3481326
Loren Miller School,school,33.9694587,-118.288963
Ascension Lutheran School,school,33.9883466,-118.3347977
Golden Day Nursery School,school,33.9808468,-118.3306308
Saint John the Evangelist School,school,33.9844578,-118.3311865
Faith Lutheran Parish School,school,33.9497371,-118.2786847
Saint Michaels Girls High School,school,33.9597366,-118.2945185
Saint Lawrence of Brandini School,school,33.9452931,-118.2456282
San Miguel Elementary School,school,33.9369597,-118.231461
Light and Life Christian Elementary and Junior High School,school,34.0377901,-118.2014612
Rafu Chuo Gakuen School,school,34.0439009,-118.2031279
East Los Angeles Occupational Center,school,34.0555671,-118.2059059
Evergreen Elementary School,school,34.051956,-118.1967388
Lincoln Park Recreation Center,park,34.0658443,-118.199239
Marlton Avenue School,school,34.0086237,-118.3431315
Camino Nuevo CHT Middle School,school,34.0627096,-118.3050343
Harte Middle School,school,33.9519591,-118.2878516
Coeur d'Alene Elementary School,school,33.9900113,-118.454523
Unknown,school,34.2275548,-118.4992533
Saturn Elementary School,school,34.0466776,-118.3567435
Columbus Avenue Elementary School,school,34.1932884,-118.4633822
Belmont Community Adult School,school,34.0613499,-118.2618802
Academia Semillas del Pueblo Charter School,school,34.0852878,-118.1822942
Accelerated Charter School,school,34.0961197,-118.3917453
Carlson Hospital Home School,school,34.1477637,-118.3691392
Cooper Community Day School,school,33.7652955,-118.3006271
Owens Community Day School,school,33.993069,-118.3200752
West Hollywood Community Day School,school,34.0569548,-118.365355
City of Angels Independent Studies School,school,34.0308462,-118.2561851
Eagle Rock High School Highly Gifted Magnet,school,34.1331673,-118.2065873
Holy Family Grammar School,school,33.7880556,-118.2488889
Rinaldi Adult Center,school,34.2787293,-118.5091003
First Presbyterian School,school,34.2588889,-118.5227778
San Fernando Valley Academy,school,34.2513889,-118.5183333
Messiah Lutheran School,school,34.2188889,-118.3961111
Calvary Baptist School,school,34.2872222,-118.4138889
Saint Didacus Catholic Church,school,34.3058333,-118.4458333
Saint Joseph The Worker School,school,34.2019444,-118.5652778
Our Lady of Lourdes School,school,34.2469444,-118.5352778
Saint Bernardine's Catholic School,school,34.1816667,-118.656944
Pines Christian School,school,33.7958333,-118.3072222
Redeemer Christian Academy,school,34.0306793,-118.41916
Saint Anastasia School,school,33.9588889,-118.4252778
Westchester Lutheran School,school,33.9697222,-118.3958333
Yeshiva Rav Isacsohn Academy,school,34.0811111,-118.3436111
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,school,34.0855544,-118.3467456
KIPP Academy of Opportunity,school,33.9756443,-118.318055
East Valley High School,school,34.1705556,-118.3711111
Dongguk Royal University,school,34.0659544,-118.2895024
World Mission University,school,34.0648727,-118.2895592
Golden Gate University,school,34.0491586,-118.2605405
Everest College,school,34.0326316,-118.3897321
College of Oceaneering,school,33.7668279,-118.2636968
Samra University of Oriental Medicine,school,34.0323856,-118.3892744
West Coast University,school,34.0793256,-118.292257
The King's College and Seminary,school,34.2006182,-118.455975
American Intercontinental University,school,33.9789087,-118.4155241
Westwood College - South Bay,school,33.8515084,-118.2898193
Highland Park Continuation School,school,34.11676,-118.20127
Saint Mary Elementary School,school,34.0417765,-118.2152804
Wilshire Community Police Station,police,34.0466667,-118.3427778
Southeast Community Police Station,police,33.9386111,-118.2755556
Rampart Community Police Station,police,34.0727778,-118.2763889
Pacific Community Police Station,police,33.9916273,-118.4199666
West Los Angeles Community Police Station,police,34.0437764,-118.4506826
Van Nuys Community Police Station,police,34.1833387,-118.4449197
Foothill Community Police Station,police,34.2530556,-118.4102778
Hollenbeck Community Police Station,police,34.0448535,-118.212979
99 Ranch Market,supermarket,34.1880845,-118.465299
Venice Beach,police,33.9860867,-118.4739521
Central Adult Senior High,school,34.0337767,-118.2669497
Unknown,school,33.9707648,-118.3957103
Ralphs,supermarket,34.0455899,-118.2608354
El C Lollo Meat Market,supermarket,34.0769216,-118.275498
Ralphs,supermarket,34.2605131,-118.326723
Albertsons,supermarket,34.1088413,-118.287919
Unknown,school,34.0998244,-118.2936919
Jon's Marketplace,supermarket,34.1001798,-118.2926464
Trader Joe's,supermarket,34.0691676,-118.3443578
Lucy`s,supermarket,34.0986146,-118.311887
Vince's Market,supermarket,34.1139738,-118.253779
Super King,supermarket,34.2022394,-118.4505628
Freshi Flix Film Camp (summer only),school,34.1138032,-118.3349472
Smart & Final,supermarket,34.0879126,-118.309646
Sprouts Farmers Market,supermarket,34.1356634,-118.216452
Smart & Final,supermarket,34.2461924,-118.274765
Ralphs,supermarket,34.1400528,-118.3679456
Liceo La Gran Aventura,kindergarten,4.7996076,-75.6919089
Numero Uno Market,supermarket,33.9598407,-118.2684904
DISKovery Center,school,34.0495853,-118.2395246
Smart & Final,supermarket,34.1677656,-118.6201209
Mitsuwa Marketplace,supermarket,34.0051047,-118.4335247
Trader Joe's,supermarket,34.0621165,-118.4439469
Trader Joe's,supermarket,34.0299222,-118.4214045
Sprouts Farmers Market,supermarket,34.0277643,-118.3936984
El Super,supermarket,34.1186297,-118.1962954
Ralphs,supermarket,34.0633324,-118.4439456
Mattel Children's Hospital,hospital,34.0663274,-118.4471116
Resnick Neuropsychiatric Hospital,hospital,34.0661034,-118.4465012
Trader Joe's,supermarket,34.1000166,-118.326466
Boba Tea House,supermarket,34.2351727,-118.5277448
Whole Foods Market,supermarket,34.0612088,-118.447068
Rose and Alex Pilibos Armenian School,school,34.10033,-118.2985269
Ralphs,supermarket,34.102296,-118.3081363
Galleria Market - Galleria Vermont,supermarket,34.0655794,-118.290934
Delphi Academy,school,34.2757587,-118.3644407
Newton Community Police Station,police,34.0122938,-118.256123
H Mart,supermarket,34.0633764,-118.298541
L A Barber College,school,34.0484503,-118.2499909
Super A,supermarket,34.1033676,-118.2360136
Super King,supermarket,34.1096481,-118.2430678
yummy.com,supermarket,33.9731821,-118.4223595
Canyon Charter Elementary School,school,34.03175,-118.512016
Trader Joe's,supermarket,34.1429858,-118.3933469
Nu Vela Esthetica,hospital,34.2751983,-118.561841
Village School,school,34.0452746,-118.5253519
Shalhevet High School,school,34.0596968,-118.3627734
Neurological Rehabilitation & Research Unit,hospital,34.065767,-118.4442777
Newmark Continuation High School,school,34.0612989,-118.2608772
Super A Foods,supermarket,34.1198066,-118.2013052
Kedren Community Health Center,hospital,34.0073173,-118.2661911
Ralphs,supermarket,34.0317653,-118.290833
President's Garden,park,34.1283367,-118.209664
HK Market,supermarket,34.074174,-118.308883
Whole Foods Market,supermarket,34.0012423,-118.469738
Gates Early Education Center,kindergarten,34.0722652,-118.2049501
Fresco Community Market,supermarket,34.1048359,-118.183443
Unknown,park,34.1861562,-118.5153067
Unknown,park,34.1861144,-118.5151938
Trader Joe's,supermarket,33.9586411,-118.3965106
Unknown,school,34.1655014,-118.5874035
Ralphs,supermarket,34.1626477,-118.5214777
Food 4 Less,supermarket,34.0419614,-118.3100256
Unknown,kindergarten,34.1689208,-118.6164697
Everfresh Marketplace,supermarket,34.1650948,-118.523875
Unknown,school,34.2020522,-118.6017454
Trader Joe's,supermarket,34.1930814,-118.6255657
Whole Foods Market,supermarket,34.0458779,-118.2576698
Trader Joe's,supermarket,34.0337202,-118.4492798
Ralphs,supermarket,34.257992,-118.5983606
Unknown,school,34.208026,-118.5978796
Unknown,school,34.2067895,-118.5982378
Bazaar,supermarket,34.1792692,-118.5358
Ai Hoa Supermarket,supermarket,34.0640481,-118.2387185
Sabzee,supermarket,34.1616273,-118.5132619
LOS ANGELES MAKE-UP SCHOOL,school,34.1005416,-118.3308929
Numero Uno Markets,supermarket,34.04638,-118.2836939
Marukai Market,supermarket,34.0502168,-118.24229
Little Tokyo Market Place,supermarket,34.0448135,-118.2388853
Erewhon,supermarket,33.9897279,-118.4622025
Right Choice Caribbean Market,supermarket,34.0072288,-118.3352789
Vicente Foods,supermarket,34.0524007,-118.4738424
Food 4 Less,supermarket,34.0571794,-118.2706167
Unknown,kindergarten,34.2014993,-118.4609826
Sunrise Child Care,kindergarten,34.241179,-118.5385923
Grocery Outlet,supermarket,34.1019028,-118.2984934
UBSF Sebastião Luiz Nogueira - Jardim Los Angeles,hospital,-20.5492933,-54.6283683
Missionette Christian Academy,school,34.0039105,-118.314486
Weyburn Park Area,park,34.0631931,-118.4508107
Ralphs,supermarket,34.0627612,-118.350983
Downtown Magnets High School,school,34.0630843,-118.2504047
Smart & Final,supermarket,34.0473388,-118.262109
Nijiya Market,supermarket,34.0487979,-118.2401698
Ralphs,supermarket,34.0700195,-118.3436347
Sprouts Farmers Market,supermarket,34.0873062,-118.344424
Sprouts Farmers Market,supermarket,34.0510922,-118.438539
Bristol Farms,supermarket,34.0534978,-118.440595
Ralphs,supermarket,33.999028,-118.4613865
New York Film Academy,school,34.1437191,-118.3408463
Trader Joe's,supermarket,34.0719907,-118.3618302
"Gnomon — School of Visual Effects, Games & Animation",school,34.089511,-118.329125
Super King,supermarket,34.2413085,-118.5596393
Trader Joe's,supermarket,34.0257159,-118.2848075
Walmart Neighborhood Market,supermarket,34.2344724,-118.448672
PUC Community Early College High School,school,34.2803887,-118.3818483
PUC Community Charter Middle School,school,34.2800297,-118.3824599
Grocery Outlet,supermarket,34.0539643,-118.2624455
Seafood City,supermarket,34.1408814,-118.225232
Smart & Final Extra!,supermarket,34.0755345,-118.216565
Millenium Dance Complex,school,34.139497,-118.3829988
Unknown,park,34.0314649,-118.2797488
Cal Mart Beer & Wine Food Store,supermarket,34.0251267,-118.2787842
Bangluck Market,supermarket,34.101529,-118.3028201
Jons,supermarket,34.0575293,-118.301309
Ralphs,supermarket,34.0477911,-118.3395489
Renaissance Arts Academy,school,34.1078745,-118.241582
Unknown,hospital,34.1707705,-118.5895399
Crossroads School,school,34.1952542,-118.4461896
Peace Awareness Labyrinth and Gardens,park,34.0322624,-118.3226779
Eataly,supermarket,34.0601615,-118.419023
Venice Adult School,school,33.9970263,-118.445149
Follow Your Heart Market,supermarket,34.2012849,-118.6038774
D1,supermarket,4.8025841,-75.6915334
Bristol Farms,supermarket,33.9610857,-118.4191847
Sage Academy,kindergarten,34.1772675,-118.5283387
Stratford School,school,34.0928749,-118.3281643
Food 4 Less,supermarket,34.0250901,-118.3077277
Livonia Glatt Market,supermarket,34.0550794,-118.3865588
Ralphs,supermarket,34.0260176,-118.433347
Ralphs,supermarket,34.2226187,-118.397751
Katherine Johnson STEM Academy,school,33.9576469,-118.4275371
Amazon Fresh,supermarket,34.1841827,-118.6069884
Cleveland Humanities Magnet,school,34.2189301,-118.5485902
Vaughn Charter Mainland Upper Elementary,school,34.2808719,-118.4227711
Vaughn Charter MIT Middle School,school,34.2793719,-118.4217347
Gelson's,supermarket,34.0576934,-118.4194844
Tambuli Seafood Market #1,supermarket,34.0913194,-118.291448
Erewhon,supermarket,34.0922375,-118.282296
Amazon Fresh,supermarket,34.2736056,-118.555041
My Sunshine Preschool,kindergarten,34.0221127,-118.4098712
Whole Foods Market,supermarket,34.0224397,-118.4379298
California Wiz Kids,kindergarten,34.0204056,-118.4080365
Wonder Years Preschool,kindergarten,34.0338534,-118.437772
Nijiya Market,supermarket,34.0391052,-118.441523
Kline Academy of Fine Art,school,34.0299253,-118.4110143
Palms Park Child Care Center,kindergarten,34.0333017,-118.417318
Sprouts Farmers Market,supermarket,34.1894659,-118.6241632
Tree House School,kindergarten,34.0217656,-118.4051679
Sunshine Preschool,kindergarten,34.0193593,-118.4110664
Jessica Triangle,park,34.1121935,-118.2150357
Cookbook,supermarket,34.1093518,-118.19369
Maple Tree Academy,kindergarten,34.028318,-118.4289633
Green Beginning Preschool,kindergarten,34.0323056,-118.3908574
Whole Foods Market,supermarket,34.0535107,-118.4673608
Home Sweet Home Preschool,kindergarten,34.0006822,-118.402456
Superior Grocers,supermarket,34.0968574,-118.2078307
Northgate Market,supermarket,33.9938289,-118.4147462
The Academy,kindergarten,34.0463217,-118.43364
ALDI,supermarket,34.234101,-118.5567066
CHAMPS,school,34.1951521,-118.4481558
A Kid's Place,kindergarten,34.0040463,-118.4324032
Smart & Final,supermarket,34.0439907,-118.3790634
The City School,school,34.0218331,-118.371265
Covid Testing (PCR 30 mins),hospital,34.0723695,-118.4682968
Smart & Final,supermarket,34.111276,-118.1875792
Creative Center for Children,kindergarten,34.0549739,-118.4282379
Westwood Hills Preschool,kindergarten,34.0470727,-118.4349683
Sprouts Farmers Market,supermarket,34.0487432,-118.3440378
California Rehabilitation Institute,hospital,34.0591305,-118.4117451
Marukai,supermarket,34.0292445,-118.4512175
Valentina's Preschool,kindergarten,34.0324934,-118.3776167
Stratford School,school,34.0364024,-118.4508722
Santa Ynez Private Recreational Center,park,34.073254,-118.5615826
Joshua House Health Center,hospital,34.0421489,-118.2485451
Albertsons,supermarket,34.2094554,-118.554133
Estación de Policia,police,8.0986164,-73.508816
Colegio,school,8.0984639,-73.508432
Sola's African Market,supermarket,34.2289427,-118.4674427
A Child's Place,kindergarten,34.0338603,-118.3797675
Hubert H. Humphrey Comprehensive Health Center,hospital,33.9886634,-118.273426
B&H Foods,supermarket,34.0362138,-118.2340058
Superior Grocers,supermarket,33.9577257,-118.3096485
Northgate Gonzalez Market,supermarket,33.7920813,-118.2667024
Galleria Market,supermarket,34.0523166,-118.308509
Western Kosher Pico,supermarket,34.0484078,-118.3414885
Los Angeles Senior High School,school,34.0560645,-118.3320422
Seven Arrows Elementary,school,34.04519,-118.5258645
Village School,school,34.0446411,-118.5262034
Gan Yaffa,kindergarten,34.0453745,-118.3862065
Magnolia Place Preschool,school,34.2106962,-118.4044695
A-List Montessori Preschool,kindergarten,34.0049525,-118.4207225
Inti Wasi Preschool,kindergarten,34.0554427,-118.3879876
Jay's Market,supermarket,34.0467048,-118.3237173
Little Village Nursery School,kindergarten,34.0304103,-118.4485272
Smart & Final,supermarket,34.0628263,-118.3497045
Whole Foods Market,supermarket,34.0270753,-118.3726066
Brawerman Elementary School,school,34.0354278,-118.4485802
Sri Lankan Delight,supermarket,34.1721337,-118.5478452
Trader Joe's,supermarket,34.1820159,-118.3956215
Superior Grocers,supermarket,34.0227025,-118.3546055
Ralphs,supermarket,34.0204448,-118.3547348
Building Blocks Christian Academy,kindergarten,34.0055073,-118.4344726
Վարթաշեն Նպարատուն,supermarket,34.2007767,-118.4143209
Unknown,school,34.1689717,-118.4520867
Van Nuys Middle school,school,34.1695349,-118.4512814
WorldSpeak School,kindergarten,34.0521558,-118.439347
Food 4 Less,supermarket,34.0409993,-118.2055794
Smart & Final,supermarket,34.0397419,-118.4644315
Koshco Superstore,supermarket,34.0546256,-118.383964
Gelson's,supermarket,34.0477992,-118.5281106
Smart & Final,supermarket,34.0283717,-118.3354674
Olive House Crisis Residential,hospital,34.3274884,-118.4444286
STARS Crisis Residential,hospital,34.3279907,-118.4442932
Brentwood Presbyterian Church Preschool,kindergarten,34.0518914,-118.4731263
H.O.P.E. Garden Project,park,34.2337569,-118.3973384
Lyric Preschool,school,34.1021314,-118.2728316
St. Casimir Lithuanian Heritage,school,34.1083187,-118.2753104
The Language Grove,kindergarten,34.2442696,-118.4746555
Camelot Kids,school,34.1079417,-118.2674067
SOCES,school,34.184081,-118.5386981
Van Nuys Behavioral Health Hospital,hospital,34.1769007,-118.4474908
Kaiser Foundation Hospital Mental Health Center,hospital,34.0668973,-118.2434019
Tarzana Treatment Center,hospital,34.1794458,-118.5398562
Motion Picture And Television Hospital,hospital,34.1579783,-118.6366359
Smart & Final Extra!,supermarket,34.0006139,-118.464256
Ralphs,supermarket,33.9582719,-118.4183307
Whole Foods Market,supermarket,33.9765369,-118.4178973
Bethesda University (Los Angeles Campus),school,34.0375137,-118.3174945
Food 4 Less,supermarket,34.2752459,-118.4123679
Smart & Final,supermarket,34.2679186,-118.4246409
Smart & Final,supermarket,34.022826,-118.2920912
7 Days Food Store,supermarket,33.7379883,-118.283859
Erewhon,supermarket,34.0471118,-118.5251878
Gelson's,supermarket,34.0328723,-118.4552568
Food 4 Less,supermarket,33.9938126,-118.273391
H Mart,supermarket,34.0626089,-118.3098276
歡迎光臨萬樂市場,supermarket,34.2022646,-118.5363484
El Super,supermarket,33.9744208,-118.2686592
Locke Early Education Center,kindergarten,33.9345881,-118.2689706
Superior Grocers,supermarket,33.9433438,-118.2665076
